139137;E;7;11;47;46;43;0
139391;E;7;11;53;28;43;0
139392;E;7;11;53;29;43;0
34474;E;4;11;55;18;42;77
139439;E;7;11;54;13;43;0
34481;E;4;11;56;29;42;77
143393;E;7;13;07;03;43;0
143494;E;7;13;08;49;43;0
34974;E;4;13;11;56;42;77
143606;E;7;13;10;33;43;0
143607;E;7;13;10;34;43;0
143608;E;7;13;10;35;43;0
143609;E;7;13;10;37;43;0
8790813;E;1;13;12;04;32;2
143610;E;7;13;10;38;43;0
8790814;E;1;13;12;04;32;4
34975;E;4;13;12;06;42;77
143611;E;7;13;10;39;43;0
8790815;E;1;13;12;04;32;6
143612;E;7;13;10;40;43;0
8790816;E;1;13;12;04;32;21
143613;E;7;13;10;41;43;0
143614;E;7;13;10;42;43;0
143615;E;7;13;10;43;43;0
34976;E;4;13;12;16;42;77
143616;E;7;13;10;44;43;0
143617;E;7;13;10;45;43;0
143618;E;7;13;10;47;43;0
143619;E;7;13;10;48;43;0
143620;E;7;13;10;49;43;0
34977;E;4;13;12;26;42;77
143621;E;7;13;10;50;43;0
143622;E;7;13;10;51;43;0
143623;E;7;13;10;52;43;0
143625;E;7;13;10;54;43;0
34978;E;4;13;12;37;42;77
143626;E;7;13;10;56;43;0
143627;E;7;13;10;57;43;0
143628;E;7;13;10;58;43;0
143629;E;7;13;10;59;43;0
143630;E;7;13;11;00;43;0
34979;E;4;13;12;47;42;77
143631;E;7;13;11;01;43;0
143632;E;7;13;11;02;43;0
143633;E;7;13;11;03;43;0
143634;E;7;13;11;05;43;0
143635;E;7;13;11;06;43;0
34980;E;4;13;12;57;42;77
143636;E;7;13;11;07;43;0
143637;E;7;13;11;08;43;0
143638;E;7;13;11;09;43;0
143639;E;7;13;11;10;43;0
143640;E;7;13;11;11;43;0
143641;E;7;13;11;12;43;0
143642;E;7;13;11;13;43;0
143643;E;7;13;11;15;43;0
143644;E;7;13;11;16;43;0
143645;E;7;13;11;17;43;0
143646;E;7;13;11;18;43;0
143647;E;7;13;11;19;43;0
143648;E;7;13;11;20;43;0
143649;E;7;13;11;21;43;0
143650;E;7;13;11;22;43;0
143651;E;7;13;11;24;43;0
143652;E;7;13;11;25;43;0
143653;E;7;13;11;26;43;0
8777139;E;0;13;13;33;34;0
143654;E;7;13;11;27;43;0
143655;E;7;13;11;28;43;0
143656;E;7;13;11;29;43;0
143657;E;7;13;11;30;43;0
